bin	group	depth	enzyme	abundance
OSU_TB12	Group2	790.0	AslA	0.183486
OSU_TB13	Group3a	1000.0	AslA	0
OSU_TB14	Group3a	850.0	AslA	0
OSU_TB15	Group2	270.0	AslA	0.417827
OSU_TB16	Group3b	120.0	AslA	0.0779423
OSU_TB17	Group3a	640.0	AslA	0
OSU_TB18	Group4	80.0	AslA	0.129116
OSU_TB19	Group3b	80.0	AslA	0.0710227
OSU_TB20	Group1b	80.0	AslA	0.480384
OSU_TB21	Group2	600.0	AslA	0.364861
OSU_TB22	Group3a	600.0	AslA	0
OSU_TB23	Group1a	600.0	AslA	0.401929
OSU_TB24	Group3a	696.0	AslA	0
OSU_TB25	Group3a	696.0	AslA	0
OSU_TB26	Group2	696.0	AslA	0.363259
OSU_TB27	Group2	696.0	AslA	0.135318
OSU_TB28	Group3a	488.0	AslA	0
OSU_TB29	Group3a	350.0	AslA	0
OSU_TB30	Group2	350.0	AslA	0
OSU_TB31	Group3b	120.0	AslA	0.0768049
OSU_TB32	Group1b	50.0	AslA	0.311042
OSU_TB33	Group1a	80.0	AslA	0.664767
OSU_TB34	Group1c	80.0	AslA	0.269179
OSU_TB35	Group2	80.0	AslA	0
OSU_TB36	Group2	80.0	AslA	0.143678
OSU_TB38	Group3a	60.0	AslA	0
OSU_TB39	Group2	60.0	AslA	0.211416
OSU_TB40	Group1a	60.0	AslA	0.794136
OSU_TB42	Group3b	60.0	AslA	0.070028
OSU_TB43	Group1b	60.0	AslA	0.318725
OSU_TB44	Group1a	650.0	AslA	0.536398
OSU_TB45	Group3b	150.0	AslA	0.0628536
OSU_TB46	Group4	150.0	AslA	0.145985
OSU_TB47	Group3a	800.0	AslA	0
OSU_TB48	Group3a	790.0	AslA	0
OSU_TB49	Group1b	80.0	AslA	0.258398
OSU_TB50	Group1b	5.0	AslA	0.392157
OSU_TB51	Group2	150.0	AslA	0.673653
OSU_TB52	Group3a	800.0	AslA	0
OSU_TB53	Group6	140.0	AslA	0
OSU_TB54	Group3b	140.0	AslA	0.0669792
OSU_TB55	Group5	140.0	AslA	0
OSU_TB56	Group2	140.0	AslA	0.152788
OSU_TB57	Group5	140.0	AslA	0
OSU_TB58	Group1b	140.0	AslA	0.167926
OSU_TB59	Group3a	140.0	AslA	0
OSU_TB60	Group1b	150.0	AslA	0.333611
OSU_TB61	Group3a	1000.0	AslA	0
OSU_TB62	Group4	80.0	AslA	0
OSU_TB63	Group1a	150.0	AslA	0.973236
OSU_TB64	Group1b	120.0	AslA	0.2849
OSU_TB65	Group3a	375.0	AslA	0
OSU_ZL01	Group3a	800.0	AslA	0
OSU_ZL02	Group3a	800.0	AslA	0
OSU_ZL03	Group3a	770.0	AslA	0
OSU_ZL04	Group3a	770.0	AslA	0
OSU_ZL05	Group5	511.0	AslA	0
UM_GB_B1	Group3a	2000.0	AslA	0.068918
USC_TB66	Group1b	unknown	AslA	0.370096
USC_TB67	Group2	unknown	AslA	0
USC_TB68	Group1b	unknown	AslA	0.189215
USC_TB69	Group1b	unknown	AslA	0.35868
USC_TB70	Group2	unknown	AslA	0
USC_TB71	Group1a	unknown	AslA	0.773395
USC_TB72	Group1b	unknown	AslA	0.498339
USC_TB74	Group2	unknown	AslA	0.499584
USC_TB75	Group1a	unknown	AslA	0.663717
USC_TB76	Group2	unknown	AslA	0
USC_TB78	Group2	unknown	AslA	0
USC_TB79	Group2	unknown	AslA	0.710732
USC_TB80	Group1a	unknown	AslA	0.4914
USC_TB81	Group2	unknown	AslA	0.0748503
USC_TB82	Group1c	unknown	AslA	0.0995025
USC_TB84	Group2	unknown	AslA	0.0616523
USC_TB85	Group1b	unknown	AslA	0.154679
USC_TB86	Group1a	unknown	AslA	0.562324
USC_TB87	Group1b	unknown	AslA	0.303951
USC_TB88	Group4	unknown	AslA	0.317209
USC_TB89	Group4	unknown	AslA	0
USC_TB90	Group1a	unknown	AslA	0.445104
USC_TB91	Group2	unknown	AslA	0.698812
USC_TB92	Group1a	unknown	AslA	0.509879
USC_TB93	Group1a	unknown	AslA	0.568643
USC_TB94	Group5	unknown	AslA	0.0692521
