bin	group	depth	enzyme	abundance
USC_TB75	Group1a	unknown	fmnos	0.0737463
USC_TB76	Group2	unknown	fmnos	0.099108
USC_TB78	Group2	unknown	fmnos	0.587084
USC_TB79	Group2	unknown	fmnos	0.852878
USC_TB80	Group1a	unknown	fmnos	0.3276
USC_TB81	Group2	unknown	fmnos	0.187126
USC_TB82	Group1c	unknown	fmnos	0
USC_TB84	Group2	unknown	fmnos	0.678175
USC_TB85	Group1b	unknown	fmnos	0.0773395
USC_TB86	Group1a	unknown	fmnos	0.0937207
USC_TB87	Group1b	unknown	fmnos	0.151976
USC_TB88	Group4	unknown	fmnos	0.872324
USC_TB89	Group4	unknown	fmnos	1.32502
USC_TB90	Group1a	unknown	fmnos	0.074184
USC_TB91	Group2	unknown	fmnos	0.768693
USC_TB92	Group1a	unknown	fmnos	0.637349
USC_TB93	Group1a	unknown	fmnos	0.16247
USC_TB94	Group5	unknown	fmnos	0.0692521
LSU_GOM1	Group1a	30.0	enolases	2.73788
LSU_GOM2	Group1a	30.0	enolases	3.50975
MPMJ01	Group4	5.0	enolases	0.221519
MPMM01	Group3a	5.0	enolases	0.0735294
MPNC01	Group3a	5.0	enolases	0.0854336
MPND01	Group2	5.0	enolases	0.522727
MPNN01	Group1a	5.0	enolases	1.86464
OSU_BB01	Group2	200.0	enolases	1.78366
OSU_BB02	Group1a	200.0	enolases	3.34996
OSU_BB03	Group1b	80.0	enolases	2.15716
OSU_BB04	Group1a	200.0	enolases	3.60206
OSU_BB05	Group2	200.0	enolases	2.22222
OSU_BB06	Group1b	0.0	enolases	1.98675
OSU_BB07	Group2	80.0	enolases	0.626566
OSU_BB08	Group1a	200.0	enolases	3.48644
OSU_BB09	Group2	200.0	enolases	1.64806
OSU_BB10	Group3a	200.0	enolases	0.173511
OSU_BB11	Group3a	200.0	enolases	0.348028
OSU_NS01	Group4	193.0	enolases	0
OSU_NS02	Group5	200.0	enolases	0.15674
OSU_NS03	Group3a	200.0	enolases	0
OSU_NS04	Group2	200.0	enolases	1.79641
OSU_NS05	Group1a	200.0	enolases	2.92994
OSU_NS06	Group3c	500.0	enolases	0.0607533
OSU_NS07	Group1a	10900.0	enolases	1.36519
OSU_NS08	Group3c	754.0	enolases	0
OSU_NS09	Group5	505.0	enolases	0
OSU_NS10	Group2	505.0	enolases	2.76532
OSU_TB01	Group1a	115.0	enolases	3.52817
