bins	biome	depth	genes	COG2141	COG4948	COG4638	COG1028	COG3119
TARA_096_SRF_0.22-3	(SPO) South Pacific Ocean 	5	471684	185	317	226	2692	1332
TARA_098_DCM_0.22-3	(SPO) South Pacific Ocean 	188	461832	516	552	400	2715	1249
TARA_098_MES_0.22-3	(SPO) South Pacific Ocean 	488	447983	1591	1217	526	3527	1776
TARA_098_SRF_0.22-3	(SPO) South Pacific Ocean 	5	333075	131	230	157	1822	887
TARA_099_SRF_0.22-3	(SPO) South Pacific Ocean 	5	494782	200	384	248	2674	1563
TARA_100_DCM_0.22-3	(SPO) South Pacific Ocean 	50	765016	488	507	682	4432	1034
TARA_100_MES_0.22-3	(SPO) South Pacific Ocean 	177	631862	960	1072	581	4000	2176
TARA_100_SRF_0.22-3	(SPO) South Pacific Ocean 	5	680690	259	409	285	3390	2045
TARA_102_DCM_0.22-3	(SPO) South Pacific Ocean 	40	925912	596	601	663	4152	1905
TARA_102_MES_0.22-3	(SPO) South Pacific Ocean 	480	424697	779	443	613	3008	1631
TARA_102_SRF_0.22-3	(SPO) South Pacific Ocean 	5	726356	297	436	411	3103	2008
TARA_109_DCM_0.22-3	(NPO) North Pacific Ocean 	30	473576	278	374	370	2554	1800
TARA_109_DCM_<-0.22	(NPO) North Pacific Ocean 	30	218042	3	3	8	46	5
TARA_109_MES_0.22-3	(NPO) North Pacific Ocean 	380	421398	767	515	561	2751	1463
TARA_109_SRF_0.22-3	(NPO) North Pacific Ocean 	5	476674	216	351	372	2425	1649
TARA_109_SRF_<-0.22	(NPO) North Pacific Ocean 	5	222262	42	15	51	316	39
TARA_110_DCM_0.22-3	(SPO) South Pacific Ocean 	50	629327	381	378	556	3076	900
TARA_110_MES_0.22-3	(SPO) South Pacific Ocean 	380	516653	677	564	574	3169	1467
TARA_110_SRF_0.22-3	(SPO) South Pacific Ocean 	5	476916	222	320	400	2517	943
TARA_111_DCM_0.22-3	(SPO) South Pacific Ocean 	90	866447	754	865	715	4987	1997
TARA_111_MES_0.22-3	(SPO) South Pacific Ocean 	350	434075	1133	804	573	3080	1695
TARA_111_SRF_0.22-3	(SPO) South Pacific Ocean 	5	667025	295	585	323	3340	1414
TARA_112_DCM_0.22-3	(SPO) South Pacific Ocean 	155	621726	545	694	445	3403	1523
TARA_112_MES_0.22-3	(SPO) South Pacific Ocean 	696	456639	1376	986	457	3431	1566
TARA_112_SRF_0.22-3	(SPO) South Pacific Ocean 	5	559649	223	478	279	2739	1605
TARA_122_DCM_0.1-0.22	(SPO) South Pacific Ocean 	115	344419	37	18	50	376	20
TARA_122_DCM_0.22-0.45	(SPO) South Pacific Ocean 	115	879692	980	875	811	5363	700
TARA_122_DCM_0.22-3	(SPO) South Pacific Ocean 	115	868093	1123	1116	842	5284	1654
TARA_122_DCM_0.45-0.8	(SPO) South Pacific Ocean 	115	771901	607	675	601	4091	1481
TARA_122_MES_0.1-0.22	(SPO) South Pacific Ocean 	600	277597	49	44	79	538	44
TARA_122_MES_0.22-0.45	(SPO) South Pacific Ocean 	600	332754	511	383	377	2144	894
TARA_122_MES_0.22-3	(SPO) South Pacific Ocean 	600	510098	981	661	562	3525	1555
TARA_122_MES_0.45-0.8	(SPO) South Pacific Ocean 	600	311418	851	407	402	2293	1011
TARA_122_SRF_0.1-0.22	(SPO) South Pacific Ocean 	5	338826	32	34	67	353	117
TARA_122_SRF_0.22-0.45	(SPO) South Pacific Ocean 	5	355064	123	234	175	1583	593
TARA_122_SRF_0.22-3	(SPO) South Pacific Ocean 	5	429765	191	393	227	2110	1193
TARA_122_SRF_0.45-0.8	(SPO) South Pacific Ocean 	5	443031	191	412	209	2222	1224
TARA_123_MIX_0.1-0.22	(SPO) South Pacific Ocean 	150	457569	35	28	47	439	49
TARA_123_MIX_0.22-0.45	(SPO) South Pacific Ocean 	150	890760	1654	1841	1048	6145	2125
TARA_123_MIX_0.22-3	(SPO) South Pacific Ocean 	150	992532	1882	2138	1243	7193	2568
TARA_123_MIX_0.45-0.8	(SPO) South Pacific Ocean 	150	193130	135	147	109	847	158
TARA_123_SRF_0.22-0.45	(SPO) South Pacific Ocean 	5	582043	427	411	391	3049	577
TARA_123_SRF_0.22-3	(SPO) South Pacific Ocean 	5	561118	391	402	488	2817	1331
TARA_123_SRF_0.45-0.8	(SPO) South Pacific Ocean 	5	615014	539	516	559	3444	1522
TARA_124_MIX_0.1-0.22	(SPO) South Pacific Ocean 	120	442624	29	21	36	236	14
TARA_124_MIX_0.22-0.45	(SPO) South Pacific Ocean 	120	690770	1224	1037	888	5053	801
TARA_124_MIX_0.22-3	(SPO) South Pacific Ocean 	120	861480	2089	1666	1349	6733	3339
TARA_124_MIX_0.45-0.8	(SPO) South Pacific Ocean 	120	798028	2122	1572	1358	6240	4413
TARA_124_SRF_0.1-0.22	(SPO) South Pacific Ocean 	5	340494	26	16	35	263	26
TARA_124_SRF_0.22-0.45	(SPO) South Pacific Ocean 	5	517396	521	499	391	3157	571
TARA_124_SRF_0.22-3	(SPO) South Pacific Ocean 	5	983124	731	841	709	5166	2087
TARA_124_SRF_0.45-0.8	(SPO) South Pacific Ocean 	5	571321	461	539	455	3241	2089
TARA_125_MIX_0.1-0.22	(SPO) South Pacific Ocean 	140	345817	20	13	33	255	26
TARA_125_MIX_0.22-0.45	(SPO) South Pacific Ocean 	140	715159	450	456	396	3667	524
TARA_125_MIX_0.22-3	(SPO) South Pacific Ocean 	140	1037513	2588	2137	1324	7436	2870
TARA_125_MIX_0.45-0.8	(SPO) South Pacific Ocean 	140	648871	438	471	462	3435	1900
TARA_125_SRF_0.1-0.22	(SPO) South Pacific Ocean 	5	326523	42	24	46	394	40
TARA_125_SRF_0.22-0.45	(SPO) South Pacific Ocean 	5	1023347	1628	1257	962	6493	923
TARA_125_SRF_0.22-3	(SPO) South Pacific Ocean 	5	628184	476	488	430	3493	908
TARA_125_SRF_0.45-0.8	(SPO) South Pacific Ocean 	5	937871	2776	2177	1329	7013	3531
TARA_128_DCM_0.22-3	(SPO) South Pacific Ocean 	40	499459	399	371	399	2915	1324
TARA_128_SRF_0.22-3	(SPO) South Pacific Ocean 	5	442704	342	293	352	2435	1370
TARA_132_DCM_0.22-3	(NPO) North Pacific Ocean 	115	799643	639	622	685	3881	1720
TARA_132_MES_0.22-3	(NPO) North Pacific Ocean 	550	432396	1390	936	540	3232	1579
TARA_132_SRF_0.22-3	(NPO) North Pacific Ocean 	5	469256	259	379	284	2623	1515
TARA_133_DCM_0.22-3	(NPO) North Pacific Ocean 	45	812125	479	558	631	3469	2221
TARA_133_MES_0.22-3	(NPO) North Pacific Ocean 	650	449287	1153	781	672	3308	2047
TARA_133_SRF_0.22-3	(NPO) North Pacific Ocean 	5	1030160	468	727	645	4850	4475
TARA_137_DCM_0.22-3	(NPO) North Pacific Ocean 	40	617241	923	1337	413	4052	2411
TARA_137_MES_0.22-3	(NPO) North Pacific Ocean 	375	596817	1077	1114	405	3854	1681
TARA_137_SRF_0.22-3	(NPO) North Pacific Ocean 	5	534264	262	394	347	2417	1232
TARA_138_DCM_0.22-3	(NPO) North Pacific Ocean 	60	597191	525	436	624	2904	636
TARA_138_MES_0.22-3	(NPO) North Pacific Ocean 	450	558130	1003	1007	432	3656	1817
TARA_138_SRF_0.22-3	(NPO) North Pacific Ocean 	5	475909	270	343	292	2436	1201
TARA_140_SRF_0.22-3	(NPO) North Pacific Ocean 	5	605014	272	329	317	2248	1758
TARA_141_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	621134	376	449	517	3158	2194
TARA_142_DCM_0.22-3	(NAO) North Atlantic Ocean 	125	602143	663	566	505	3673	1313
TARA_142_MES_0.22-3	(NAO) North Atlantic Ocean 	640	379403	774	454	452	2623	1236
TARA_142_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	647902	641	563	575	3900	1155
TARA_145_MES_0.22-3	(NAO) North Atlantic Ocean 	590	444920	1491	973	605	3500	1681
TARA_145_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	661458	948	702	909	4385	1153
TARA_146_MES_0.22-3	(NAO) North Atlantic Ocean 	640	310927	1251	686	435	2428	1189
TARA_146_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	648291	948	649	732	4154	1451
TARA_148b_MES_0.22-3	(NAO) North Atlantic Ocean 	250	614088	1670	1425	692	4397	1708
TARA_148_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	602427	757	582	587	3684	1375
TARA_149_MES_0.22-3	(NAO) North Atlantic Ocean 	740	346317	1153	683	475	2678	1233
TARA_149_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	621107	644	484	646	3530	1152
TARA_150_DCM_0.22-3	(NAO) North Atlantic Ocean 	40	639695	531	419	537	3282	1479
TARA_150_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	602520	513	430	581	3200	1478
TARA_151_DCM_0.22-3	(NAO) North Atlantic Ocean 	80	624688	902	666	715	3978	1822
TARA_151_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	685782	353	373	556	3265	1318
TARA_152_MES_0.22-3	(NAO) North Atlantic Ocean 	800	413652	1295	785	533	3086	1257
TARA_152_MIX_0.22-3	(NAO) North Atlantic Ocean 	25	646981	566	637	695	3897	1557
TARA_152_SRF_0.22-3	(NAO) North Atlantic Ocean 	5	567036	432	485	626	3440	1310
